rank,keyword,volume,kd,cpc,score,root,source
386,how to set a rat trap,90,31,0.0,2.1951219512195124,rat trap,r2
387,how to set up a rat trap,90,31,0.0,2.1951219512195124,rat trap,r2
388,can wolf spiders kill you,90,32,0.0,2.142857142857143,wolf spider,r2
389,what to do if bitten by redback,90,34,0.04,2.1272727272727274,redback,r1
390,where do white tail spiders live,50,14,0.0,2.0833333333333335,white tail spider,r1
391,where do white tailed spiders live,50,14,0.0,2.0833333333333335,white tail spider,r1
392,are black house spiders venomous,50,14,0.0,2.0833333333333335,black house spider,r2
393,what are carpenter ants,90,34,0.0,2.0454545454545454,carpenter ant,r2
394,can carpenter ants bite,70,25,0.0,2.0,carpenter ant,r2
395,what are the first signs of rat poisoning in dogs,50,16,0.0,1.9230769230769231,rat poison,r2
396,what does black house spider eat,50,16,0.0,1.9230769230769231,black house spider,r2
397,are pestrol rat traps reliable,50,17,0.0,1.8518518518518519,rat trap,r2
398,how long do cockroach eggs take to hatch,70,28,0.0,1.8421052631578947,cockroach eggs,r2
399,do redback spiders kill you,70,29,0.0,1.794871794871795,redback,r1
400,how deadly are redback spiders,70,31,0.0,1.7073170731707317,redback,r1
401,can german cockroaches fly,70,35,0.0,1.5555555555555556,german cockroach,r2
402,how many cockroaches in an egg,50,26,0.0,1.3888888888888888,cockroach eggs,r2
403,how to identify carpenter ants,50,29,0.0,1.2820512820512822,carpenter ant,r2
