keyword,volume,keyword_difficulty,cpc_aud,competition,intent_code,funnel_stage,is_geo,priority_score,rank_target
pest control carine,20,0,0.0,1.0,,BOFU,yes,0,no
pest control connolly,0,0,4.87,0.57,,BOFU,yes,0,no
pest control craigie,20,0,0.0,0.0,,BOFU,yes,0,no
pest control currambine,20,0,0.0,0.93,,BOFU,yes,0,no
pest control doubleview,20,0,3.3,1.0,,BOFU,yes,0,no
pest control duncraig,20,0,2.88,0.99,,BOFU,yes,0,no
pest control edgewater,20,0,0.0,0.66,,BOFU,yes,0,no
pest control girrawheen,20,0,0.0,0.64,,BOFU,yes,0,no
pest control greenwood,70,0,4.76,0.8,0,BOFU,yes,0,yes
pest control hamersley,10,0,0.0,0.95,,BOFU,yes,0,no
pest control heathridge,20,0,0.0,1.0,,BOFU,yes,0,no
pest control iluka,20,0,2.61,0.38,,BOFU,yes,0,no
pest control innaloo,20,0,4.29,1.0,,BOFU,yes,0,no
pest control joondalup perth,0,0,0.0,0.0,,BOFU,yes,0,no
pest control kallaroo,20,0,0.0,0.0,,BOFU,yes,0,no
pest control karrinyup,20,0,3.66,0.99,,BOFU,yes,0,no
pest control kingsley,20,0,4.62,0.32,,BOFU,yes,0,no
pest control kinross,20,0,7.55,0.99,,BOFU,yes,0,no
pest control marangaroo,90,0,5.2,0.95,0,BOFU,yes,0,yes
pest control marmion,0,0,0.0,0.0,,BOFU,yes,0,no
pest control mindarie,40,0,2.54,0.99,,BOFU,yes,0,no
pest control mirrabooka,20,0,0.0,0.71,,BOFU,yes,0,no
pest control mullaloo,20,0,0.0,1.0,,BOFU,yes,0,no
pest control north beach,0,0,6.89,0.81,,BOFU,yes,0,no
pest control north fremantle,10,0,0.0,0.71,,BOFU,yes,0,no
pest control ocean reef,20,0,2.72,0.45,,BOFU,yes,0,no
pest control padbury,20,0,3.15,1.0,,BOFU,yes,0,no
pest control quinns rocks,20,0,4.43,0.86,,BOFU,yes,0,no
pest control scarborough perth,0,0,0.0,0.0,,BOFU,yes,0,no
pest control stirling,70,0,3.33,0.57,1,BOFU,yes,0,yes
pest control trigg,0,0,4.87,0.57,,BOFU,yes,0,no
pest control tuart hill,20,0,0.0,0.38,,BOFU,yes,0,no
pest control watermans bay,0,0,0.0,0.0,,BOFU,yes,0,no
pest control westminster,20,0,4.93,0.99,,BOFU,yes,0,no
pest control woodvale,30,0,2.49,0.99,,BOFU,yes,0,no
pest management technician licence wa,20,0,0.0,0.33,,TOFU,yes,0,no
rat control joondalup,0,0,0.0,0.0,,BOFU,yes,0,no
rat control kinross,0,0,0.0,0.0,,BOFU,yes,0,no
rat control scarborough,0,0,0.0,0.0,,BOFU,yes,0,no
rat control stirling,0,0,0.0,0.0,,BOFU,yes,0,no
rat control warwick,0,0,0.0,0.71,,BOFU,yes,0,no
rat control westminster,0,0,0.0,0.0,,BOFU,yes,0,no
redback spider control,40,0,2.43,0.33,,MOFU,no,0,no
rodent control wa,20,0,0.0,0.0,,BOFU,yes,0,no
silverfish treatment perth,50,0,0.0,0.0,,BOFU,yes,0,yes
spider control duncraig,0,0,0.0,0.0,,BOFU,yes,0,no
spider control joondalup,0,0,0.0,0.0,,BOFU,yes,0,no
spider control marangaroo,0,0,0.0,0.0,,BOFU,yes,0,no
spider control north beach,0,0,0.0,0.0,,BOFU,yes,0,no
spider control wa,10,0,0.0,0.0,,BOFU,yes,0,no
spider control westminster,0,0,0.0,0.0,,BOFU,yes,0,no
termite control butler,0,0,0.0,0.0,,BOFU,yes,0,no
termite control edgewater,0,0,0.0,0.0,,BOFU,yes,0,no
termite control fremantle,0,0,0.0,0.0,,BOFU,yes,0,no
termite control greenwood,0,0,0.0,0.0,,BOFU,yes,0,no
termite control joondalup,0,0,0.0,0.0,,BOFU,yes,0,no
termite control scarborough,0,0,0.0,0.0,,BOFU,yes,0,no
termite control sorrento,0,0,0.0,0.0,,BOFU,yes,0,no
termite control wanneroo,0,0,0.0,0.0,,BOFU,yes,0,no
termite control warwick,0,0,3.05,0.46,,BOFU,yes,0,no
termite control westminster,0,0,0.0,0.33,,BOFU,yes,0,no
termite inspection balcatta,0,0,0.0,0.0,,BOFU,yes,0,no
termite inspection carine,0,0,0.0,0.0,,BOFU,yes,0,no
termite inspection duncraig,0,0,0.0,0.0,,BOFU,yes,0,no
termite inspection edgewater,0,0,0.0,0.0,,BOFU,yes,0,no
termite inspection fremantle,20,0,0.0,1.0,,BOFU,yes,0,no
termite inspection girrawheen,0,0,0.0,0.0,,BOFU,yes,0,no
termite inspection joondalup,0,0,0.0,0.0,,BOFU,yes,0,no
termite inspection karrinyup,0,0,0.0,0.0,,BOFU,yes,0,no
termite inspection sorrento,0,0,0.0,0.0,,BOFU,yes,0,no
termite inspection wa,20,0,0.0,0.04,,BOFU,yes,0,no
termite inspection warwick,30,0,0.0,0.33,,BOFU,yes,0,no
termite inspection watermans bay,0,0,0.0,0.0,,BOFU,yes,0,no
termite inspection westminster,0,0,0.0,0.0,,BOFU,yes,0,no
termite treatment butler,0,0,0.0,0.0,,BOFU,yes,0,no
termite treatment fremantle,30,0,0.0,0.0,,BOFU,yes,0,no
termite treatment girrawheen,0,0,0.0,0.0,,BOFU,yes,0,no
termite treatment joondalup,10,0,0.0,0.0,,BOFU,yes,0,no
termite treatment scarborough,0,0,0.0,0.0,,BOFU,yes,0,no
termite treatment wa,10,0,0.0,0.0,,BOFU,yes,0,no
termite treatment warwick,0,0,0.0,0.29,,BOFU,yes,0,no
termite treatment westminster,0,0,0.0,0.0,,BOFU,yes,0,no
white-tail spider treatment,50,0,1.28,0.33,,MOFU,no,0,yes
how often is pest control needed,140,0,0.0,0.17,1,MOFU,no,0,yes
how many ants on the earth,880,0,0.0,0.33,,TOFU,no,0,yes
are redback spiders dangerous,90,0,0.0,0.02,1,TOFU,no,0,yes
what do white tail spiders look like,50,0,0.0,0.01,,TOFU,no,0,yes
how big are white tail spiders,40,0,0.0,0.33,,TOFU,no,0,no
how to treat white tail spider bite,40,0,0.22,0.12,,TOFU,no,0,no
what does white tail spider bite look like,40,0,0.0,0.33,,TOFU,no,0,no
are white tail spiders aggressive,30,0,0.0,0.33,,TOFU,no,0,no
are white tail spiders venomous,30,0,0.0,0.33,,TOFU,no,0,no
do white tail spiders make webs,30,0,0.0,0.33,,TOFU,no,0,no
how big do white tail spiders get,30,0,0.0,0.33,,TOFU,no,0,no
how to get rid of coastal brown ants,20,0,0.46,0.66,,TOFU,no,0,no
do coastal brown ants eat termites,0,0,0.0,0.0,,TOFU,no,0,no
do coastal brown ants have any odour when crushed,0,0,0.0,0.0,,TOFU,no,0,no
does borax kill coastal brown ants,0,0,0.0,0.0,,TOFU,no,0,no
does fipronil kill coastal brown ants,0,0,0.0,0.0,,TOFU,no,0,no
does fiproonil kill coastal brown ants,0,0,0.0,0.0,,TOFU,no,0,no
how do coastal brown ants survive heavy rain,0,0,0.0,0.0,,TOFU,no,0,no
how to get rid of brown coastal ants,0,0,0.0,0.0,,TOFU,no,0,no
how to get rid of coastal brown ants inside building,0,0,0.0,0.0,,TOFU,no,0,no
how to get rid of coastal brown ants queensland,0,0,0.0,0.0,,TOFU,no,0,no
how to kill coastal brown ants,0,0,0.0,0.0,,TOFU,no,0,no
how to treat coastal brown ants,0,0,0.0,0.0,,TOFU,no,0,no
what are coastal brown ants,0,0,0.0,0.0,,TOFU,no,0,no
what do coastal brown ants eat,0,0,0.0,0.0,,TOFU,no,0,no
